ID,ID,Name,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
112,112,Tatitlek Electric Utility - Residential,True,1,False,False,0.542699992656708,2.20000004768372,0.0,,Tatitl,"[(nan, 0.920000016689301), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
114,114,Teller Power Company - Residential,False,1,False,False,0.348399996757507,1.79999995231628,0.0,,Teller,"[(nan, 0.562799990177155), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
115,115,Tenakee Springs Electric Utility - Residential,True,1,False,False,0.31580001115799,2.0,7.5,,Tenake,"[(nan, 0.610000014305115), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
120,120,Tuluksak Traditional Power - Commercial - Sm,True,1,False,False,0.272899985313416,1.79999995231628,,,Tuluks,"[(nan, 0.75), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
121,121,Tuntutuliak Community Services - Residential,True,1,False,False,0.226799994707108,1.89999997615814,,,Tuntut,"[(nan, 0.649999976158142), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
122,122,"Umnak Power Co., The Native Vill - Residential",True,1,False,False,0.574199974536896,1.79999995231628,15.0,,Umnak ,"[(nan, 0.75), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
123,123,"Unalaska, City of - Residential",True,1,False,False,0.14640000462532,1.60000002384186,8.0,,Unalas,"[(nan, 0.399049997329712), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
124,124,Unqusrag - Residential,True,1,False,False,0.417100012302399,1.79999995231628,,,Unqusr,"[(nan, 0.800000011920929), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
127,127,"White Mountain, City of - Residential",True,1,False,False,0.256900012493134,2.79999995231628,10.0,,White ,"[(nan, 0.550000011920929), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
128,128,"Wrangell, City of - Residential",True,1,False,False,,0.00999999977648258,8.0,,Wrange,"[(300.0, 0.134800001978874), (1200.0, 0.109099999070168), (nan, 0.0856000036001205), (nan, nan), (nan, nan)]"
129,129,AVEC - Yakutat - Residential,True,1,False,False,0.269400000572205,1.60000002384186,,,AVEC -,"[(700.0, 0.43520000576973), (nan, 0.400200009346008), (nan, nan), (nan, nan), (nan, nan)]"
131,131,Self Generated Power (oil) - Residential,True,1,False,False,,2.20000004768372,0.0,,Self G,"[(nan, 1.0), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
133,133,Unalakleet Valley Electric Assoc - Residential,True,1,False,True,0.164199993014336,1.70000004768372,4.0,,Unalak,"[(nan, 0.42809998954180606), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
134,134,Metlakatla Power & Light - Residential,True,1,False,False,,0.400000005960464,,,Metlak,"[(nan, 0.0925000011920929), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
135,135,St. George Electric Utility - Residential,True,1,False,False,0.777660012245178,1.79999995231628,0.0,,St. Ge,"[(nan, 1.0), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
136,136,Copper Valley Electric Assn 2 - Residential,True,1,False,False,,1.60000002384186,12.0,,Copper,"[(nan, 0.2268000021576879), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
146,146,Fairbanks Natural Gas - Residential,True,2,False,True,,,12.0,,Fairba,"[(nan, 2.0819000896299302), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
147,147,Homer Electric Assn Remote - Residential,False,1,False,True,,1.5,11.0,,Homer ,"[(600.0, 0.15101000631693703), (nan, 0.15952999854926003), (nan, nan), (nan, nan), (nan, nan)]"
199,199,Naukiti-APT - Residential,True,1,False,False,0.0299999993294477,1.79999995231628,20.0,,Naukit,"[(nan, 0.230000004172325), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
201,201,AVEC-Alakanuk- Residential,True,1,False,False,0.267800003290176,1.79999995231628,5.0,,AVEC-A,"[(700.0, 0.49990000762045383), (nan, 0.3998999986797568), (nan, nan), (nan, nan), (nan, nan)]"
202,202,AVEC-Ambler - Residential,True,1,False,False,0.297100007534027,1.79999995231628,5.0,,AVEC-A,"[(700.0, 0.5136000066995621), (nan, 0.413599997758865), (nan, nan), (nan, nan), (nan, nan)]"
203,203,AVEC-Anvik - Residential,True,1,False,False,0.31470000743866,1.79999995231628,5.0,,AVEC-A,"[(700.0, 0.532200008630753), (nan, 0.43219999969005596), (nan, nan), (nan, nan), (nan, nan)]"
204,204,AVEC-Brevig Mission - Residential,True,1,False,False,0.257600009441376,1.79999995231628,5.0,,AVEC-B,"[(700.0, 0.47210000455379497), (nan, 0.372099995613098), (nan, nan), (nan, nan), (nan, nan)]"
205,205,AVEC-Chevak- Residential,True,1,False,False,0.270900011062622,1.79999995231628,5.0,,AVEC-C,"[(700.0, 0.5145000107586386), (nan, 0.41450000181794155), (nan, nan), (nan, nan), (nan, nan)]"
206,206,AVEC-Eek - Residential,True,1,False,False,0.280299991369247,1.79999995231628,5.0,,AVEC-E,"[(700.0, 0.49600000679493), (nan, 0.395999997854233), (nan, nan), (nan, nan), (nan, nan)]"
207,207,AVEC-Elim - Residential,True,1,False,False,0.291700005531311,1.79999995231628,5.0,,AVEC-E,"[(700.0, 0.508000016212463), (nan, 0.408000007271766), (nan, nan), (nan, nan), (nan, nan)]"
208,208,AVEC-Emmonak - Residential,True,1,False,False,0.267800003290176,1.79999995231628,5.0,,AVEC-E,"[(700.0, 0.49990000762045383), (nan, 0.3998999986797568), (nan, nan), (nan, nan), (nan, nan)]"
209,209,AVEC-Gambell - Residential,True,1,False,False,0.264499992132187,1.79999995231628,5.0,,AVEC-G,"[(700.0, 0.5174000076949596), (nan, 0.4173999987542627), (nan, nan), (nan, nan), (nan, nan)]"
210,210,AVEC-Goodnews Bay - Residential,True,1,False,False,0.274899989366531,1.79999995231628,5.0,,AVEC-G,"[(700.0, 0.490300014615059), (nan, 0.39030000567436196), (nan, nan), (nan, nan), (nan, nan)]"
211,211,AVEC-Grayling- Residential,True,1,False,False,0.291000008583069,1.79999995231628,5.0,,AVEC-G,"[(700.0, 0.5072000175714491), (nan, 0.407200008630752), (nan, nan), (nan, nan), (nan, nan)]"
212,212,AVEC-Holy Cross- Residential,True,1,False,False,0.281899988651276,1.79999995231628,5.0,,AVEC-H,"[(700.0, 0.497600018978119), (nan, 0.39760001003742196), (nan, nan), (nan, nan), (nan, nan)]"
213,213,AVEC-Hooper Bay- Residential,True,1,False,False,0.265899986028671,1.79999995231628,5.0,,AVEC-H,"[(700.0, 0.498200017958879), (nan, 0.398200009018182), (nan, nan), (nan, nan), (nan, nan)]"
214,214,AVEC-Huslia - Residential,True,1,False,False,0.306400001049042,1.79999995231628,5.0,,AVEC-H,"[(700.0, 0.5234000086784361), (nan, 0.423399999737739), (nan, nan), (nan, nan), (nan, nan)]"
215,215,AVEC-Kaltag- Residential,True,1,False,False,0.291599988937378,1.79999995231628,5.0,,AVEC-K,"[(700.0, 0.50780001282692), (nan, 0.40780000388622295), (nan, nan), (nan, nan), (nan, nan)]"
216,216,AVEC-Kiana- Residential,True,1,False,False,0.313499987125397,1.79999995231628,5.0,,AVEC-K,"[(700.0, 0.53090001642704), (nan, 0.430900007486343), (nan, nan), (nan, nan), (nan, nan)]"
217,217,AVEC-Kivalina- Residential,True,1,False,False,0.317099988460541,1.79999995231628,5.0,,AVEC-K,"[(700.0, 0.534700006246567), (nan, 0.43469999730587), (nan, nan), (nan, nan), (nan, nan)]"
218,218,AVEC-Koyuk - Residential,True,1,False,False,0.279000014066696,1.79999995231628,5.0,,AVEC-K,"[(700.0, 0.494600012898445), (nan, 0.39460000395774797), (nan, nan), (nan, nan), (nan, nan)]"
219,219,AVEC-Lwr/Upr Kalskag - Residential,True,1,False,False,0.270799994468689,1.79999995231628,5.0,,AVEC-L,"[(700.0, 0.486000016331673), (nan, 0.38600000739097595), (nan, nan), (nan, nan), (nan, nan)]"
220,220,AVEC-Marshall - Residential,True,1,False,False,0.26350000500679,1.79999995231628,5.0,,AVEC-M,"[(700.0, 0.478300005197525), (nan, 0.378299996256828), (nan, nan), (nan, nan), (nan, nan)]"
221,221,AVEC-Mekoryuk - Residential,True,1,False,False,0.282900005578995,1.79999995231628,5.0,,AVEC-M,"[(700.0, 0.5147000085562472), (nan, 0.41469999961555015), (nan, nan), (nan, nan), (nan, nan)]"
222,222,AVEC-Minto - Residential,True,1,False,False,0.270300000905991,1.79999995231628,5.0,,AVEC-M,"[(700.0, 0.485400006175041), (nan, 0.385399997234344), (nan, nan), (nan, nan), (nan, nan)]"
223,223,AVEC-Mt.Village- Residential,True,1,False,False,0.263200014829636,1.79999995231628,5.0,,AVEC-M,"[(700.0, 0.477900013327599), (nan, 0.37790000438690197), (nan, nan), (nan, nan), (nan, nan)]"
224,224,AVEC-New Stuyahok- Residential,True,1,False,False,0.323900014162064,1.79999995231628,5.0,,AVEC-N,"[(700.0, 0.541800007224083), (nan, 0.441799998283386), (nan, nan), (nan, nan), (nan, nan)]"
225,225,AVEC-Nightmute- Residential,True,1,False,False,0.250099986791611,1.79999995231628,5.0,,AVEC-N,"[(700.0, 0.46420000493526503), (nan, 0.364199995994568), (nan, nan), (nan, nan), (nan, nan)]"
226,226,AVEC-Noatak - Residential,True,1,False,False,0.527499973773956,1.79999995231628,5.0,,AVEC-N,"[(700.0, 0.756200015544891), (nan, 0.656200006604194), (nan, nan), (nan, nan), (nan, nan)]"
227,227,AVEC-Noorvik - Residential,True,1,False,False,0.274599999189377,1.79999995231628,5.0,,AVEC-N,"[(700.0, 0.490000009536743), (nan, 0.390000000596046), (nan, nan), (nan, nan), (nan, nan)]"
228,228,AVEC-Nulato- Residential,True,1,False,False,0.292899996042252,1.79999995231628,5.0,,AVEC-N,"[(700.0, 0.509200006723404), (nan, 0.409199997782707), (nan, nan), (nan, nan), (nan, nan)]"
229,229,AVEC-Nunapitchuk/Kasig - Residential,True,1,False,False,0.265199989080429,1.79999995231628,5.0,,AVEC-N,"[(700.0, 0.5007000062614679), (nan, 0.4006999973207709), (nan, nan), (nan, nan), (nan, nan)]"
