,Name,Latitude,Longitude,ERHRegionID,WAPRegionID,FuelRefer,FuelCityID,Oil1Price,Oil2Price,PropanePrice,BirchPrice,SprucePrice,CoalPrice,SteamPrice,HotWaterPrice,MunicipalSalesTax,BoroughSalesTax,TMYid,TMYname,ElecUtilities,GasPrice,aris_city,census_city,census_area,ancsa_region,railbelt,hub,avg_elec_usage
33,Wainwright Res,70.644905090332,-160.017776489258,6,5,False,,1.5,,14.6199998855591,,,,,,,,700260,"BARROW W POST-W ROGERS ARPT [NSA - ARM], AK","[('North Slope Borough Utilities - Residential', 88), ('North Slope Borough Utilities - Commercial - Sm', 427), ('North Slope Borough Utilities - Commercial - Lg', 614)]",,Wainwright,Wainwright city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,False,"[814.1280577660001, 732.4086517019999, 677.8205355819999, 658.6938714940001, 573.242149129, 551.260636715, 515.910546416, 549.5003696580001, 592.636700237, 644.655361374, 715.0635761589999, 782.4727755639999]"
34,Ambler,67.087028503418,-157.858917236328,5,5,False,,,,,,,,,,0.0299999993294477,,701718,"AMBLER, AK","[('AVEC-Ambler - Residential', 202), ('AVEC-Ambler - Commercial - Sm', 299), ('AVEC-Ambler - Commercial - Lg', 486)]",,Ambler,Ambler city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
35,Buckland,65.9757614135742,-161.127685546875,5,5,False,,6.5,,10.8100004196167,,,,,,0.0599999986588955,,700197,"SELAWIK, AK","[('Buckland, City of- Residential', 27), ('Buckland, City of - Commercial - Sm', 353), ('Buckland, City of - Commercial - Lg', 540)]",,Buckland,Buckland city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
36,Deering,66.0825576782227,-162.741424560547,5,5,False,,4.75,,9.76000022888184,,,,,,0.0299999993294477,,701330,"KOTZEBUE RALPH WEIN MEMORIAL, AK","[('Ipnatchiaq Electrric Co - Residential', 58), ('Ipnatchiaq Electrric Co - Commercial - Sm', 394), ('Ipnatchiaq Electrric Co - Commercial - Lg', 581)]",,Deering,Deering city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
37,Kiana,66.9719772338867,-160.432723999023,5,5,False,,5.5,,,,,,,,0.0299999993294477,,700197,"SELAWIK, AK","[('AVEC-Kiana- Residential', 216), ('AVEC-Kiana - Commercial - Sm', 314), ('AVEC-Kiana - Commercial - Lg', 501)]",,Kiana,Kiana city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
38,Kivalina,67.7271881103516,-164.537689208984,5,5,False,,4.40000009536743,,11.8199996948242,,,,,,0.0199999995529652,,701043,"POINT HOPE (AWOS), AK","[('AVEC-Kivalina- Residential', 217), ('AVEC-Kivalina - Commercial - Sm', 315), ('AVEC-Kivalina - Commercial - Lg', 502)]",,Kivalina,Kivalina city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
39,Kobuk,66.9152374267578,-156.884384155273,5,5,False,,8.0,,12.9200000762939,,,,,,,,701718,"AMBLER, AK","[('AVEC-Shungnak - Residential', 242), ('AVEC-Shungnak - Commercial - Sm', 338), ('AVEC-Shungnak - Commercial - Lg', 525)]",,Kobuk,Kobuk city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
40,Kotzebue,66.8983840942383,-162.584930419922,5,5,False,,5.19000005722046,,7.51999998092651,,,,,,0.0599999986588955,,701330,"KOTZEBUE RALPH WEIN MEMORIAL, AK","[('Kotzebue Electric Assn - Residential', 69), ('Kotzebue Electric Assn - Sm Commercial - Sm', 405), ('Kotzebue Electric Assn - Commercial - Lg', 592)]",,Kotzebue,Kotzebue city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,True,"[765.111630278, 722.148670461, 615.631722029, 627.924135587, 578.497408886, 524.26854133, 505.31633170099997, 539.6036987000001, 556.177166019, 589.277824692, 671.651241344, 669.153014693]"
41,Noatak,67.5723190307617,-162.970458984375,5,5,False,,8.98999977111816,,,,,,,,,,701330,"KOTZEBUE RALPH WEIN MEMORIAL, AK","[('AVEC-Noatak - Residential', 226), ('AVEC-Noatak - Commercial - Sm', 324), ('AVEC-Noatak - Commercial - Lg', 511)]",,Noatak,Noatak CDP,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
42,Noorvik,66.8327941894531,-161.043121337891,5,5,False,,5.42000007629395,,13.210000038147,,,,,,0.0399999991059303,,700197,"SELAWIK, AK","[('AVEC-Noorvik - Residential', 227), ('AVEC-Noatak - Commercial - Sm', 324), ('AVEC-Noorvik - Commercial - Lg', 512)]",,Noorvik,Noorvik city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
43,Selawik,66.5987701416016,-160.010437011719,5,5,False,,7.5,,13.5699996948242,,,,,,0.0649999976158142,,700197,"SELAWIK, AK","[('AVEC-Selawik- Residential', 238), ('AVEC-Selawik - Commercial - Sm', 334), ('AVEC-Selawik - Commercial - Lg', 521)]",,Selawik,Selawik city,Northwest Arctic Borough,Nana Regional Corporation,Affordable Energy Strategy Area,False,"[572.834303061, 500.516865246, 484.113043478, 441.903799582, 407.954886591, 355.64101501, 362.29760132300004, 375.730022831, 403.60316023400003, 448.65293781199995, 506.75236850699997, 542.8334420880001]"
