,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
1177,Samsung,10298668,Multi,AJ030MCS4CH/AA,Non-ducted,11.0,4.65,28600.0,0.45,1.802544645591398,2.0954581505000003,4.010446221052632
1178,Samsung,10298670,Multi,AJ024MCS4CH/AA,Non-ducted,10.0,4.0,25000.0,0.45,1.8316941875,2.1237034057971016,4.003703142076502
1179,Samsung,10348192,Multi,AJ020MCS3CH/AA,Non-ducted,10.0,3.3,22000.0,0.45,1.9538071333333333,2.223297772413793,4.004697850931677
1180,Samsung,8203107,Single,AC030JXSCCH/AA,AC030JN4DCH/AA,10.1,5.02,32000.0,0.9,1.8681821195219122,1.998211840909091,3.431528351265823
1181,Samsung,8203116,Single,AC036JXSCCH/AA,AC036JN4DCH/AA,10.4,6.6,40000.0,1.02,1.7761883030303032,1.9189177202380954,3.2098260047619047
1184,Samsung,8677405,Single,AR09KSWDHWKX,AR09KSWDHWKN,12.0,1.81,11088.000000000002,0.17,1.7953436597569064,2.2704002947988826,4.2260848294
1185,Samsung,8677406,Single,AR12KSWDHWKX,AR12KSWDHWKN,11.5,1.92,11968.000000000002,0.17,1.826809669666667,2.287022834276042,4.204136762478238
1186,Samsung,8677410,Single,AR24KSWSJWKX,AR24KSWSJWKN,10.7,3.89,23760.000000000004,0.48,1.7900690548071982,2.150866899671875,3.0802367561224484
1187,Samsung,201993481,Single,AR18NSWSPWKX,AR18NSWSPWKN,10.0,2.92,21040.0,0.38,2.1117175728767124,2.190088327319277,2.9658390816780824
1188,Samsung,202022716,Single,AR24NSWSPWKX,AR24NSWSPWKN,10.0,3.97,27150.0,0.48,2.004251775944584,2.191164171796875,2.511814450613333
1189,Samsung,8717080,Single,AC009KXADCH,AC009KNLDCH,10.5,1.62,10700.0,0.25,1.9357163265432098,2.283670675324675,2.7353299866666663
1190,Samsung,9035283,Single,AR09KSWSPWKX,AR09KSWSPWKN,10.5,1.96,12500.0,0.17,1.8690757015306123,2.5153768523312885,4.472047438518518
1191,Samsung,9035284,Single,AR12KSWSPWKX,AR12KSWSPWKN,10.0,2.25,14200.0,0.17,1.849604086222222,2.498816491578947,4.149322365635738
1192,Samsung,10103172,Single,AR09MSWXCWKX,AR09MSWXCWKN,10.0,1.6116000000000001,9680.000000000002,0.16,1.760317670389675,2.1941149625668444,3.677181863898117
1193,Tempstar,201835748,Single,DLCPRAH09AAK,DLFPHAH09XAK,14.5,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
1194,Tempstar,201835750,Single,DLCPRAH12AAK,DLFPHAH12XAK,13.6,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
1195,Tempstar,201835763,Single,DLCSRAH09AAJ,DLFSHAH09XAJ,10.5,1.03405777,6880.0,0.151,1.94991906,2.32990328,3.492202
